sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;comercio;fabrica de;robledo;3;10.0;2018-07-13;5000000;microempresarial
femenino;servicio;recreativo educativo;robledo;1;9.0;2017-10-30;6000000;microempresarial
femenino;comercio;tienda;robledo;2;4.0;2017-08-03;7300000;microempresarial
masculino;comercio;variedades;robledo;3;60.0;2017-11-20;7000000;microempresarial
femenino;comercio;fabrica de;robledo;2;7.0;2017-02-23;5000000;microempresarial
femenino;comercio;variedades;robledo;1;6.0;2017-05-31;7000000;microempresarial
femenino;industria;fabrica de;robledo;3;15.0;2016-02-20;2000000;microempresarial
femenino;comercio;tienda;robledo;1;1.0;2017-02-14;3300000;microempresarial
masculino;comercio;variedades;robledo;2;5.0;2018-05-07;7800000;microempresarial
femenino;comercio;variedades;robledo;1;4.0;2018-05-03;7800000;microempresarial
femenino;industria;fabrica de;robledo;2;3.0;2017-02-28;4500000;microempresarial
masculino;agropecuaria;sembrados;robledo;2;90.0;2016-12-23;13000000;agropecuaria
femenino;comercio;comidas rapidas;robledo;2;2.0;2018-04-12;7800000;microempresarial
masculino;industria;fabrica de;robledo;1;13.0;2018-08-23;4000000;microempresarial
masculino;servicio;variedades;robledo;2;13.0;2018-07-30;7800000;microempresarial
masculino;comercio;miscelanea;robledo;3;10.0;2018-02-14;1000000;microempresarial
femenino;comercio;variedades;robledo;2;80.0;2017-11-16;7000000;microempresarial
femenino;servicio;cafe e internet;robledo;3;4.0;2019-04-29;8000000;microempresarial
masculino;comercio;tienda;robledo;3;8.0;2018-06-27;5000000;microempresarial
femenino;comercio;venta de calzado;robledo;2;2.0;2017-02-27;7000000;microempresarial
femenino;comercio;productos de belleza;robledo;3;9.0;2017-07-24;7300000;microempresarial
masculino;comercio;tienda;robledo;2;4.0;2018-09-14;6000000;microempresarial
femenino;comercio;tienda;robledo;2;1.0;2018-10-11;6000000;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7.0;2018-02-15;6000000;microempresarial
femenino;comercio;variedades;robledo;3;5.0;2017-11-20;4000000;microempresarial
masculino;servicio;barberia;robledo;2;12.0;2017-09-26;7377000;microempresarial
masculino;industria;fabrica de;robledo;3;4.0;2016-10-24;6500000;microempresarial
femenino;comercio;comidas rapidas;robledo;2;9.0;2019-06-28;1500000;microempresarial
masculino;comercio;variedades;robledo;2;2.0;2018-08-17;7800000;microempresarial
femenino;servicio;peluqueria;robledo;3;6.0;2017-10-27;7300000;microempresarial
femenino;servicio;jardineria;robledo;2;2.0;2017-06-12;7377000;microempresarial
femenino;comercio;variedades;robledo;2;2.0;2017-06-14;4000000;microempresarial
femenino;comercio;tienda;robledo;2;13.0;2018-02-06;7800000;microempresarial
femenino;comercio;variedades;robledo;3;12.0;2017-09-05;7300000;microempresarial
femenino;comercio;variedades;robledo;3;16.0;2016-09-16;6890000;microempresarial
masculino;comercio;tienda;robledo;3;5.0;2018-01-15;6000000;microempresarial
femenino;comercio;peluqueria;robledo;3;5.0;2017-08-11;2500000;microempresarial
masculino;industria;fabrica de alimentos;robledo;2;13.0;2016-10-27;6800000;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;80.0;2016-09-22;4000000;microempresarial
masculino;industria;variedades;robledo;2;80.0;2017-07-24;5000000;credioportuno
masculino;industria;fabrica de;robledo;2;15.0;2016-03-02;4000000;microempresarial
masculino;industria;fabrica de;robledo;2;16.0;2016-05-24;6500000;microempresarial
femenino;comercio;comidas rapidas;robledo;2;6.0;2018-07-27;1200000;microempresarial
femenino;comercio;almacen de ropa en;robledo;3;10.0;2017-11-20;7000000;microempresarial
femenino;comercio;comidas rapidas;robledo;2;2.0;2018-03-22;1500000;microempresarial
masculino;industria;fabrica de traperos;robledo;3;4.0;2016-02-24;2000000;microempresarial
femenino;comercio;variedades;robledo;3;5.0;2017-02-15;4000000;microempresarial
masculino;industria;fabrica de alimentos;robledo;3;13.0;2016-02-29;6890000;microempresarial
masculino;industria;fabrica de;robledo;1;13.0;2017-08-15;6000000;microempresarial
masculino;servicio;variedades;robledo;3;6.0;2017-04-24;7000000;microempresarial
masculino;comercio;panaderia;robledo;2;80.0;2017-04-27;3000000;microempresarial
masculino;servicio;mantenimiento en;robledo;2;9.0;2018-05-16;7000000;microempresarial
masculino;comercio;variedades;robledo;3;12.0;2016-08-16;6000000;microempresarial
femenino;comercio;fabrica de;robledo;1;13.0;2017-10-05;7300000;microempresarial
masculino;comercio;tienda;robledo;3;80.0;2018-05-21;5500000;microempresarial
femenino;comercio;tienda de helados;robledo;3;7.0;2018-05-23;7800000;microempresarial
femenino;comercio;variedades;robledo;3;5.0;2017-04-27;7000000;microempresarial
femenino;comercio;miscelanea;robledo;3;8.0;2016-12-19;6890000;microempresarial
masculino;servicio;mantenimiento en;robledo;1;2.0;2016-01-22;6890000;microempresarial
femenino;comercio;tienda;robledo;3;10.0;2016-10-05;4000000;microempresarial
masculino;industria;fabrica de;robledo;2;2.0;2016-09-30;6890000;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;3.0;2017-02-08;1200000;microempresarial
femenino;comercio;fabrica de;robledo;1;13.0;2019-02-06;7800000;microempresarial
masculino;comercio;tienda;robledo;2;6.0;2018-09-27;5000000;microempresarial
femenino;comercio;variedades;robledo;2;7.0;2016-10-28;6000000;microempresarial
femenino;comercio;tienda;robledo;2;2.0;2016-04-04;4000000;microempresarial
femenino;comercio;variedades;robledo;2;1.0;2016-02-29;6500000;microempresarial
masculino;comercio;comidas rapidas;robledo;2;6.0;2018-05-21;5000000;microempresarial
masculino;servicio;bares;robledo;2;13.0;2018-07-16;5000000;microempresarial
masculino;industria;fabrica de;robledo;3;9.0;2018-03-06;7800000;microempresarial
femenino;comercio;peluqueria;robledo;3;6.0;2017-04-18;7000000;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7.0;2018-07-03;4000000;microempresarial
femenino;comercio;tienda;robledo;2;7.0;2018-09-05;5000000;microempresarial
femenino;comercio;peluqueria;robledo;2;7.0;2018-05-03;6000000;microempresarial
femenino;agropecuaria;criadero de animales;robledo;2;12.0;2016-06-14;6890000;microempresarial
masculino;comercio;almacen de ropa en;robledo;1;1.0;2018-10-18;7800000;microempresarial
masculino;comercio;tienda;robledo;3;9.0;2018-02-20;5000000;microempresarial
femenino;comercio;restaurante;robledo;3;8.0;2017-03-09;7000000;microempresarial
femenino;servicio;organización y;robledo;3;6.0;2017-10-12;7377000;microempresarial
femenino;industria;fabrica de;robledo;2;9.0;2017-06-06;7377000;microempresarial
femenino;industria;fabrica de;robledo;2;4.0;2018-04-27;3000000;microempresarial
masculino;servicio;restaurante;robledo;3;16.0;2017-04-03;7350000;microempresarial
femenino;comercio;variedades;robledo;3;9.0;2017-06-20;1000000;microempresarial
masculino;comercio;tienda;robledo;1;4.0;2017-09-04;3000000;microempresarial
femenino;servicio;peluqueria;robledo;2;60.0;2017-09-19;3000000;microempresarial
femenino;industria;fabrica de;robledo;1;6.0;2018-04-12;3000000;microempresarial
femenino;comercio;panaderia;robledo;2;2.0;2016-11-22;6000000;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;2.0;2017-02-21;6000000;microempresarial
masculino;comercio;tienda;robledo;1;7.0;2017-12-18;5000000;microempresarial
femenino;comercio;comidas rapidas;robledo;3;7.0;2018-01-29;7800000;microempresarial
femenino;industria;fabrica de;robledo;2;9.0;2017-03-16;5000000;microempresarial
masculino;servicio;variedades;robledo;1;1.0;2018-02-28;7000000;microempresarial
femenino;comercio;variedades;robledo;2;4.0;2016-08-25;3000000;microempresarial
masculino;servicio;comidas rapidas;robledo;2;7.0;2017-03-29;7377000;microempresarial
femenino;comercio;tienda;robledo;2;1.0;2017-06-29;7300000;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7.0;2017-03-09;6000000;microempresarial
masculino;comercio;tienda;robledo;3;9.0;2016-04-12;1000000;microempresarial
femenino;comercio;miscelanea;robledo;1;10.0;2018-02-15;5000000;microempresarial
femenino;comercio;variedades;robledo;2;6.0;2017-03-02;3000000;microempresarial
masculino;comercio;fabrica de;robledo;2;10.0;2018-01-24;4500000;microempresarial
femenino;comercio;fabrica de alimentos;robledo;1;3.0;2017-11-24;3000000;microempresarial
masculino;comercio;variedades;robledo;3;4.0;2018-06-06;4000000;microempresarial
femenino;servicio;fabrica de arepas;robledo;3;8.0;2016-08-24;1050000;microempresarial
femenino;industria;carpinteria;robledo;3;16.0;2018-01-30;7800000;microempresarial
femenino;comercio;variedades;robledo;3;12.0;2018-05-16;3000000;microempresarial
femenino;servicio;variedades;robledo;2;10.0;2017-12-22;4400000;microempresarial
masculino;comercio;tienda;robledo;3;5.0;2019-05-16;8200000;microempresarial
masculino;servicio;drogueria;robledo;2;60.0;2018-07-12;7800000;microempresarial
femenino;industria;fabrica de;robledo;2;4.0;2018-06-01;7800000;microempresarial
femenino;comercio;tienda;robledo;2;8.0;2017-04-18;7000000;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;80.0;2017-02-09;7377000;microempresarial
femenino;comercio;tienda de helados;robledo;2;13.0;2017-09-27;30000000;empresarial ed.
femenino;comercio;almacen de ropa en;robledo;2;13.0;2016-08-16;6890000;microempresarial
masculino;comercio;productos de mar;robledo;2;2.0;2018-06-07;2500000;microempresarial
femenino;agropecuaria;criadero de animales;robledo;2;80.0;2017-12-05;7300000;microempresarial
masculino;servicio;cafe e internet;robledo;3;4.0;2018-02-13;3000000;microempresarial
femenino;industria;fabrica de;robledo;2;1.0;2018-08-24;7800000;microempresarial
masculino;industria;ebanistaria;robledo;2;3.0;2016-12-06;6500000;microempresarial
femenino;comercio;variedades;robledo;2;8.0;2018-05-22;4400000;microempresarial
masculino;agropecuaria;sembrados;robledo;2;90.0;2017-07-26;10000000;agropecuaria
femenino;comercio;variedades;robledo;3;4.0;2018-02-02;36;microempresarial
masculino;industria;fabrica de calzado;robledo;2;13.0;2017-12-12;7370000;microempresarial
masculino;industria;fabrica de;robledo;1;6.0;2016-07-27;6800000;microempresarial
femenino;comercio;fabrica de helados;robledo;2;4.0;2016-10-04;6000000;microempresarial
femenino;comercio;miscelanea;robledo;3;7.0;2017-10-18;2000000;microempresarial
femenino;comercio;bares;robledo;2;7.0;2019-03-01;2500000;microempresarial
masculino;servicio;variedades;robledo;2;1.0;2017-08-31;5000000;microempresarial
femenino;comercio;miscelanea;robledo;2;9.0;2017-01-24;7370000;microempresarial
femenino;comercio;papeleria;robledo;2;80.0;2018-12-11;2000000;microempresarial
masculino;servicio;restaurante;robledo;3;10.0;2017-11-08;4000000;microempresarial
femenino;comercio;carniceria;robledo;3;7.0;2017-10-13;4000000;microempresarial
femenino;industria;fabrica de;robledo;2;5.0;2019-01-18;8200000;microempresarial
femenino;comercio;comidas rapidas;robledo;1;3.0;2018-02-16;2000000;microempresarial
femenino;servicio;comidas rapidas;robledo;1;4.0;2016-08-18;3500000;microempresarial
masculino;servicio;tienda;robledo;1;8.0;2017-08-15;7200000;microempresarial
femenino;servicio;mantenimiento en;robledo;3;5.0;2017-04-03;7377000;microempresarial
femenino;industria;fabrica de;robledo;1;6.0;2016-04-15;2000000;microempresarial
femenino;comercio;variedades;robledo;2;5.0;2018-02-09;781000;microempresarial
femenino;comercio;tienda;robledo;1;6.0;2019-05-29;8200000;microempresarial
masculino;comercio;almacen de ropa en;robledo;3;5.0;2017-02-23;3000000;microempresarial
masculino;industria;carpinteria;robledo;1;3.0;2016-12-16;6900000;microempresarial
femenino;servicio;peluqueria;robledo;3;9.0;2017-06-13;7377000;microempresarial
femenino;comercio;variedades;robledo;2;9.0;2017-10-27;6500000;microempresarial
masculino;servicio;cafeteria;robledo;2;90.0;2016-05-16;6000000;microempresarial
masculino;servicio;barberia;robledo;2;7.0;2018-05-08;6000000;microempresarial
masculino;comercio;peluqueria;robledo;3;16.0;2018-06-08;7800000;microempresarial
femenino;industria;fabrica de;robledo;2;60.0;2016-12-16;6890000;microempresarial
masculino;servicio;barberia;robledo;1;60.0;2018-08-24;7800000;microempresarial
femenino;servicio;cafe e internet;robledo;3;9.0;2016-12-05;6890000;microempresarial
femenino;servicio;fabrica de;robledo;3;5.0;2017-02-09;7377000;microempresarial
masculino;comercio;variedades;robledo;2;9.0;2017-10-24;7300000;microempresarial
masculino;industria;fabrica de;robledo;2;3.0;2018-06-18;4000000;microempresarial
masculino;servicio;peluqueria;robledo;2;7.0;2018-02-21;7000000;microempresarial
femenino;servicio;comidas rapidas;robledo;3;5.0;2018-10-18;1500000;microempresarial
femenino;comercio;comidas rapidas;robledo;2;2.0;2018-06-21;5000000;microempresarial
masculino;servicio;mantenimiento en;robledo;3;8.0;2018-09-27;7800000;microempresarial
masculino;comercio;comidas rapidas;robledo;2;6.0;2018-10-24;4000000;microempresarial
femenino;industria;fabrica de;robledo;2;3.0;2019-06-12;4500000;microempresarial
masculino;industria;fabrica de muebles;robledo;3;60.0;2018-10-26;7800000;microempresarial
femenino;comercio;comidas rapidas;robledo;3;4.0;2017-06-13;4000000;microempresarial
masculino;industria;fabrica de alimentos;robledo;3;7.0;2018-11-01;7800000;microempresarial
femenino;comercio;tienda;robledo;2;7.0;2017-02-13;5000000;microempresarial
femenino;comercio;comidas rapidas;robledo;1;13.0;2018-03-14;7800000;microempresarial
femenino;servicio;cafe e internet;robledo;1;7.0;2016-06-24;6000000;microempresarial
